@relation 'snake_game-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R5-6,8,23-weka.filters.unsupervised.attribute.AddExpression-Ea1-a15-NDist_tail_x-weka.filters.unsupervised.attribute.AddExpression-Ea2-a16-NDist_tail_y-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Horizontal_weight numeric
@attribute Vertical_weight numeric
@attribute Length numeric
@attribute Dist_tail_x numeric
@attribute Dist_tail_y numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.93617,0.404255,0.978261,0.521739,0.06383,0.595745,0.5,0,0.5,0,1,1,1,1,0.93617,0.446809,0.5,0.158286,0,0.453125,0.457627,UP
0.531915,0.255319,0.804348,0.152174,0.468085,0.744681,1,0.5,1,0.5,0.113208,0.056604,0.148148,0.344444,0.382979,0.148936,0.021951,0.70479,0.307692,0.5625,0.576271,UP
0.829787,0.170213,0.5,0.130435,0.170213,0.829787,0.5,0,0.5,0,1,1,1,1,0.829787,0.234043,0.5,0.115591,0.025641,0.453125,0.440678,UP
0.978723,0.638298,1,0.891304,0.021277,0.361702,0.5,0,0.5,0,0.056604,0,0.074074,0.266667,0.978723,0.765957,0.5,0.060696,0.102564,0.453125,0.389831,UP
0.659574,0.191489,0.630435,0.065217,0.340426,0.808511,0.5,0,0.5,0,1,1,1,1,0.659574,0.234043,0.5,0.158286,0,0.453125,0.457627,UP
0.234043,0.595745,0.26087,0.847826,0.765957,0.404255,0.5,0,0.5,0,0.056604,0,0.074074,0.633333,0.595745,0.702128,0.824807,0,0.974359,0.1875,0.40678,UP
0.829787,0.744681,0.673913,0.695652,0.170213,0.255319,1,0.5,1,0.5,0.113208,0.056604,0.148148,0.444444,0.638298,0.361702,0.004878,0.824338,0.692308,0.59375,0.79661,UP
0.446809,0.340426,0.347826,0.73913,0.553191,0.659574,0.5,0,0.5,0,0.056604,0,0.074074,0.388889,0.446809,0.574468,0.5,0.030199,0.230769,0.453125,0.305085,UP
0.829787,0.595745,0.826087,0.826087,0.170213,0.404255,0.5,0,0.5,0,1,1,1,1,0.829787,0.659574,0.5,0.115591,0.025641,0.453125,0.440678,UP
0.361702,0.659574,0.391304,0.76087,0.638298,0.340426,0.5,0,0.5,0,0.056604,0,0.074074,0.6,0.510638,0.765957,0.773171,0.021661,0.307692,0.34375,0.40678,UP
0.276596,0.255319,0.369565,0.869565,0.723404,0.744681,0.5,0,0.5,0,0.056604,0,0.074074,0.433333,0.276596,0.553191,0.5,0.021661,0.307692,0.453125,0.254237,UP
0.723404,0.553191,0.76087,0.521739,0.276596,0.446809,0,0.5,0,0.5,0,0.056604,0,0.311111,0.893617,0.510638,0.965632,0.593005,0.205128,0.328125,0.525424,UP
0.510638,0.638298,0.73913,0.065217,0.489362,0.361702,0.5,0,0.5,0,0.056604,0,0.055556,0.5,0.765957,0.468085,0.946106,0.549433,0.717949,0.265625,0.627119,UP
0.021277,0.382979,0.369565,0.586957,0.978723,0.617021,0.5,0,0.5,0,0.056604,0,0.074074,0.633333,0.021277,0.468085,0.5,0.089973,0.051282,0.453125,0.423729,UP
